"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"171215A.RUN";;;;;;;;;;;;;;;;;
"DATE";"15/12/2017";;;;;;;;;;;;;;;;;
"TIME";"11:44:46";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"Test";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-5312;;;-6448;;;-7525;;;
"Gain";;;;;;;;;142;;;53;;;117;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"15/12/2017 11:45:51";;9.996;59013;;9.997;59247;;9.966;57902;;
"cal10";2;2;"CALB";0;0;0;"15/12/2017 11:46:51";10.000;9.997;59014;10.000;10.010;59323;10.000;9.970;57925;;
"cal5";3;3;"CALB";0;0;0;"15/12/2017 11:47:51";5.000;4.995;30960;5.000;5.001;31272;5.000;5.058;31460;;
"cal2";4;4;"CALB";0;0;0;"15/12/2017 11:48:51";2.000;2.011;14222;2.000;1.950;14186;2.000;1.970;14824;;
"cal1";5;5;"CALB";0;0;0;"15/12/2017 11:49:51";1.000;1.040;8779;1.000;0.997;8848;1.000;0.970;9435;;
"cal0.5";6;6;"CALB";0;0;0;"15/12/2017 11:50:51";0.500;0.496;5723;0.500;0.480;5952;0.500;0.412;6430;;
"cal0.2";7;7;"CALB";0;0;0;"15/12/2017 11:51:51";0.200;0.195;4036;0.200;0.194;4350;0.200;0.136;4938;;
"cal0.1";8;8;"CALB";0;0;0;"15/12/2017 11:52:51";0.100;0.098;3492;0.100;0.096;3802;0.100;0.003;4222;;
"cal0.05";9;9;"CALB";0;0;0;"15/12/2017 11:53:51";0.050;0.038;3154;0.050;0.078;3699;0.050;-0.039;3999;;
