"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"180424C.RUN";;;;;;;;;;;;;;;;;
"DATE";"24/04/2018";;;;;;;;;;;;;;;;;
"TIME";"17:39:30";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"mesocosm_monitoring";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-5338;;;-6697;;;-8315;;;
"Gain";;;;;;;;;151;;;49;;;149;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"24/04/2018 17:41:34";;10.045;58729;;9.876;57682;;9.514;54802;;
"cal10";2;2;"CALB";0;0;0;"24/04/2018 17:42:34";10.000;9.971;58322;10.000;9.890;57754;10.000;9.645;55558;;
"cal5";3;3;"CALB";0;0;0;"24/04/2018 17:43:34";5.000;5.051;31346;5.000;5.213;32205;5.000;5.629;32368;;
"cal2";4;4;"CALB";0;0;0;"24/04/2018 17:44:34";2.000;2.022;14737;2.000;2.019;14759;2.000;2.010;11469;;
"cal1";5;5;"CALB";0;0;0;"24/04/2018 17:45:34";1.000;0.989;9072;1.000;0.961;8979;1.000;0.898;5049;;
"cal0.5";6;6;"CALB";0;0;0;"24/04/2018 17:46:34";0.500;0.500;6388;0.500;0.462;6248;0.500;0.388;2103;;
"cal0.1";7;7;"CALB";0;0;0;"24/04/2018 17:47:34";0.100;0.067;4014;0.100;0.055;4028;0.100;0.030;40;;
"Drift";8;8;"DRIF";0;0;0;"24/04/2018 17:48:34";;10.054;58780;;9.903;57825;;9.343;53814;;
"mm001";9;9;"SAMP";0;0;0;"24/04/2018 17:49:34";;0.100;4198;;0.261;5151;;2.293;13103;;
"mm002";10;10;"SAMP";0;0;0;"24/04/2018 17:50:34";;1.461;11660;;0.436;6107;;1.989;11351;;
"mm003";11;11;"SAMP";0;0;0;"24/04/2018 17:51:34";;1.503;11892;;0.689;7490;;2.630;15050;;
"mm004";12;12;"SAMP";0;0;0;"24/04/2018 17:52:34";;0.122;4318;;0.119;4376;;1.947;11109;;
"mm005";13;13;"SAMP";0;0;0;"24/04/2018 17:53:34";;0.127;4347;;0.094;4240;;1.957;11166;;
"mm006";14;14;"SAMP";0;0;0;"24/04/2018 17:54:34";;0.135;4387;;0.175;4682;;2.481;14193;;
"mm007";15;15;"SAMP";0;0;0;"24/04/2018 17:55:34";;0.113;4267;;0.174;4676;;1.508;8570;;
"mm008";16;16;"SAMP";0;0;0;"24/04/2018 17:56:34";;1.473;11725;;0.575;6869;;1.736;9888;;
"mm009";17;17;"SAMP";0;0;0;"24/04/2018 17:57:34";;1.441;11548;;0.136;4472;;1.627;9257;;
"mm010";18;18;"SAMP";0;0;0;"24/04/2018 17:58:34";;1.424;11456;;0.187;4751;;1.348;7648;;
"mm011";19;19;"SAMP";0;0;0;"24/04/2018 17:59:34";;1.446;11579;;0.337;5568;;1.661;9454;;
"mm012";20;20;"SAMP";0;0;0;"24/04/2018 18:00:34";;0.109;4244;;0.113;4346;;1.439;8175;;
"mm013";21;21;"SAMP";0;0;0;"24/04/2018 18:01:34";;1.401;11328;;0.444;6152;;1.477;8391;;
"mm014";22;22;"SAMP";0;0;0;"24/04/2018 18:02:34";;1.342;11009;;2.632;18108;;3.119;17875;;
"mm015";23;23;"SAMP";0;0;0;"24/04/2018 18:03:34";;1.421;11440;;0.449;6180;;1.979;11292;;
"mm016";24;24;"SAMP";0;0;0;"24/04/2018 18:04:34";;1.540;12093;;0.703;7567;;1.647;9375;;
