"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"180426B.RUN";;;;;;;;;;;;;;;;;
"DATE";"26/04/2018";;;;;;;;;;;;;;;;;
"TIME";"12:24:39";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"mesocosm_monitoring";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-5402;;;-6708;;;-7988;;;
"Gain";;;;;;;;;148;;;50;;;153;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"26/04/2018 12:29:31";;10.014;58317;;10.030;58951;;9.874;57689;;
"cal10";2;2;"CALB";0;0;0;"26/04/2018 12:30:31";10.000;10.005;58265;10.000;10.041;59013;10.000;9.885;57749;;
"cal5";3;3;"CALB";0;0;0;"26/04/2018 12:31:31";5.000;4.984;30745;5.000;4.942;30864;5.000;5.297;32029;;
"cal2";4;4;"CALB";0;0;0;"26/04/2018 12:32:31";2.000;2.019;14495;2.000;1.956;14378;2.000;1.765;12231;;
"cal1";5;5;"CALB";0;0;0;"26/04/2018 12:33:31";1.000;0.993;8870;1.000;0.907;8587;1.000;0.765;6622;;
"cal0.5";6;6;"CALB";0;0;0;"26/04/2018 12:34:31";0.500;0.502;6178;0.500;0.429;5949;0.500;0.384;4488;;
"cal0.1";7;7;"CALB";0;0;0;"26/04/2018 12:35:31";0.100;0.098;3963;0.100;0.324;5366;0.100;0.505;5166;;
"Drift";8;8;"DRIF";0;0;0;"26/04/2018 12:36:31";;10.055;58538;;10.042;59020;;9.696;56691;;
"mm098";9;9;"SAMP";0;0;0;"26/04/2018 12:37:31";;0.121;4090;;0.418;5885;;0.274;3873;;
"mm099";10;10;"SAMP";0;0;0;"26/04/2018 12:38:31";;0.128;4128;;0.245;4933;;0.697;6244;;
"mm100";11;11;"SAMP";0;0;0;"26/04/2018 12:39:31";;0.161;4313;;0.386;5707;;0.864;7177;;
"mm101";12;12;"SAMP";0;0;0;"26/04/2018 12:40:31";;0.183;4431;;1.118;9751;;1.165;8867;;
"mm102";13;13;"SAMP";0;0;0;"26/04/2018 12:41:31";;1.343;10788;;0.727;7592;;1.760;12204;;
"mm103";14;14;"SAMP";0;0;0;"26/04/2018 12:42:31";;1.405;11127;;0.797;7977;;1.679;11747;;
"mm104";15;15;"SAMP";0;0;0;"26/04/2018 12:43:31";;1.383;11010;;0.215;4768;;0.899;7378;;
"mm105";16;16;"SAMP";0;0;0;"26/04/2018 12:44:31";;1.385;11022;;0.275;5097;;1.435;10381;;
"mm106";17;17;"SAMP";0;0;0;"26/04/2018 12:45:31";;1.429;11258;;0.700;7442;;1.600;11306;;
"mm107";18;18;"SAMP";0;0;0;"26/04/2018 12:46:31";;1.445;11346;;0.368;5609;;1.075;8363;;
"mm108";19;19;"SAMP";0;0;0;"26/04/2018 12:47:31";;0.141;4202;;0.399;5780;;2.134;14300;;
"mm109";20;20;"SAMP";0;0;0;"26/04/2018 12:48:31";;1.344;10793;;0.418;5887;;0.813;6891;;
"mm110";21;21;"SAMP";0;0;0;"26/04/2018 12:49:31";;1.338;10763;;0.641;7120;;1.117;8597;;
"mm111";22;22;"SAMP";0;0;0;"26/04/2018 12:50:31";;0.199;4520;;0.397;5769;;1.577;11178;;
"mm112";23;23;"SAMP";0;0;0;"26/04/2018 12:51:31";;0.187;4453;;0.583;6798;;1.565;11112;;
"mm113";24;24;"SAMP";0;0;0;"26/04/2018 12:52:31";;1.567;12016;;1.264;10556;;1.675;11727;;
"mm114";25;25;"SAMP";0;0;0;"26/04/2018 12:53:31";;0.101;3983;;0.148;4398;;0.700;6258;;
"mm115";26;26;"SAMP";0;0;0;"26/04/2018 12:54:31";;0.201;4531;;0.689;7380;;1.632;11486;;
"mm116";27;27;"SAMP";0;0;0;"26/04/2018 12:55:31";;1.493;11611;;0.511;6401;;1.623;11434;;
"mm117";28;28;"SAMP";0;0;0;"26/04/2018 12:56:31";;0.183;4433;;0.395;5757;;1.409;10235;;
"mm118";29;29;"SAMP";0;0;0;"26/04/2018 12:57:31";;1.470;11486;;0.695;7418;;0.821;6940;;
"mm119";30;30;"SAMP";0;0;0;"26/04/2018 12:58:31";;1.526;11790;;0.885;8465;;0.542;5374;;
"mm120";31;31;"SAMP";0;0;0;"26/04/2018 12:59:31";;1.436;11297;;0.170;4518;;0.317;4112;;
"mm121";32;32;"SAMP";0;0;0;"26/04/2018 13:00:31";;0.106;4008;;0.930;8714;;0.236;3661;;
"mm122";33;33;"SAMP";0;0;0;"26/04/2018 13:01:31";;1.387;11028;;0.461;6122;;0.844;7065;;
"mm123";34;34;"SAMP";0;0;0;"26/04/2018 13:02:31";;0.135;4168;;0.158;4450;;0.294;3985;;
"mm124";35;35;"SAMP";0;0;0;"26/04/2018 13:03:31";;1.443;11337;;1.023;9227;;0.586;5621;;
"Drift";36;36;"DRIF";0;0;0;"26/04/2018 13:04:31";;10.055;58538;;10.042;59020;;9.696;56691;;
"mm125";37;37;"SAMP";0;0;0;"26/04/2018 13:05:31";;0.118;4075;;0.256;4990;;0.359;4347;;
"mm126";38;38;"SAMP";0;0;0;"26/04/2018 13:06:31";;0.152;4261;;0.250;4957;;0.375;4438;;
"mm127";39;39;"SAMP";0;0;0;"26/04/2018 13:07:31";;0.173;4379;;0.181;4576;;0.558;5463;;
"mm128";40;40;"SAMP";0;0;0;"26/04/2018 13:08:31";;1.369;10932;;0.356;5545;;0.541;5369;;
"mm129";41;41;"SAMP";0;0;0;"26/04/2018 13:09:31";;0.127;4123;;0.130;4297;;0.307;4059;;
"mm130";42;42;"SAMP";0;0;0;"26/04/2018 13:10:31";;0.139;4192;;0.240;4901;;0.330;4189;;
"mm131";43;43;"SAMP";0;0;0;"26/04/2018 13:11:31";;0.124;4108;;0.355;5540;;0.589;5640;;
"mm132";44;44;"SAMP";0;0;0;"26/04/2018 13:12:31";;1.384;11015;;0.231;4852;;0.394;4547;;
"mm133";45;45;"SAMP";0;0;0;"26/04/2018 13:13:31";;0.111;4036;;0.051;3858;;0.182;3354;;
"mm134";46;46;"SAMP";0;0;0;"26/04/2018 13:14:31";;1.399;11097;;0.185;4598;;0.405;4605;;
"mm135";47;47;"SAMP";0;0;0;"26/04/2018 13:15:31";;0.107;4017;;0.203;4697;;0.491;5091;;
"mm136";48;48;"SAMP";0;0;0;"26/04/2018 13:16:31";;0.147;4234;;0.219;4790;;0.477;5012;;
"mm137";49;50;"SAMP";0;0;0;"26/04/2018 13:17:31";;1.460;11431;;0.386;5707;;0.780;6706;;
"mm138";50;50;"SAMP";0;0;0;"26/04/2018 13:18:31";;1.460;11431;;0.385;5706;;0.779;6703;;
"mm139";51;51;"SAMP";0;0;0;"26/04/2018 13:19:31";;1.537;11850;;0.242;4913;;0.687;6186;;
"mm140";52;52;"SAMP";0;0;0;"26/04/2018 13:20:31";;0.208;4570;;0.449;6059;;0.485;5057;;
"mm141";53;53;"SAMP";0;0;0;"26/04/2018 13:21:31";;1.693;12710;;0.046;3830;;0.545;5394;;
"mm142";54;54;"SAMP";0;0;0;"26/04/2018 13:22:31";;0.168;4347;;0.310;5290;;0.676;6128;;
"mm143";55;55;"SAMP";0;0;0;"26/04/2018 13:23:31";;1.481;11544;;0.510;6393;;0.733;6445;;
"mm144";56;56;"SAMP";0;0;0;"26/04/2018 13:24:31";;1.454;11397;;0.824;8129;;0.548;5410;;
"mm145";57;57;"SAMP";0;0;0;"26/04/2018 13:25:31";;1.451;11383;;0.480;6227;;1.423;10314;;
"mm146";58;58;"SAMP";0;0;0;"26/04/2018 13:26:31";;1.438;11309;;0.648;7154;;0.479;5022;;
"mm147";59;59;"SAMP";0;0;0;"26/04/2018 13:27:31";;0.200;4522;;0.455;6093;;0.723;6388;;
"Drift";60;60;"DRIF";0;0;0;"26/04/2018 13:28:31";;10.055;58538;;10.042;59020;;9.696;56691;;
"High";61;61;"HIGH";0;3;1;"26/04/2018 13:29:31";;10.048;58500;;9.947;58492;;9.361;54812;;
"Low";62;62;"LOW ";0;3;2;"26/04/2018 13:30:31";;0.106;4010;;0.330;5402;;-0.092;1822;;
"Low";63;63;"LOW ";0;3;3;"26/04/2018 13:31:31";;0.106;4010;;0.330;5402;;0.569;5528;;
"End";64;0;"END ";0;0;0;"26/04/2018 13:32:31";;-0.030;3266;;-0.058;3259;;-0.417;1;;
