"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"180426CR1.RUN";;;;;;;;;;;;;;;;;
"DATE";"26/04/2018";;;;;;;;;;;;;;;;;
"TIME";"15:35:14";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"ecophysio2018";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-5415;;;-6703;;;-8171;;;
"Gain";;;;;;;;;148;;;50;;;153;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"26/04/2018 15:36:19";;9.934;58403;;10.039;59330;;9.969;56944;;
"cal10";2;2;"CALB";0;0;0;"26/04/2018 15:37:19";10.000;9.991;58719;10.000;10.046;59365;10.000;9.992;57064;;
"cal5";3;3;"CALB";0;0;0;"26/04/2018 15:38:19";5.000;5.009;31130;5.000;4.933;31023;5.000;5.110;32013;;
"cal2";4;4;"CALB";0;0;0;"26/04/2018 15:39:19";2.000;2.029;14630;2.000;1.952;14498;2.000;1.597;13989;;
"cal1";5;5;"CALB";0;0;0;"26/04/2018 15:40:19";1.000;0.993;8894;1.000;0.907;8700;1.000;0.786;9830;;
"cal0.5";6;6;"CALB";0;0;0;"26/04/2018 15:41:19";0.500;0.497;6149;0.500;0.429;6052;0.500;0.485;8283;;
"cal0.1";7;7;"CALB";0;0;0;"26/04/2018 15:42:19";0.100;0.081;3845;0.100;0.333;5519;0.100;0.629;9023;;
"Drift";8;8;"DRIF";0;0;0;"26/04/2018 15:43:19";;9.924;58347;;10.015;59194;;9.859;56380;;
"ep154";9;9;"SAMP";0;0;0;"26/04/2018 15:44:19";;1.344;10837;;0.128;4381;;0.427;7988;;
"ep155";10;10;"SAMP";0;0;0;"26/04/2018 15:45:19";;1.288;10527;;0.075;4092;;0.421;7955;;
"ep156";11;11;"SAMP";0;0;0;"26/04/2018 15:46:19";;1.171;9879;;0.098;4217;;0.465;8179;;
"ep157";12;12;"SAMP";0;0;0;"26/04/2018 15:47:19";;1.186;9965;;0.234;4969;;0.566;8701;;
"ep158";13;13;"SAMP";0;0;0;"26/04/2018 15:48:19";;1.203;10059;;0.231;4956;;0.522;8475;;
"ep159";14;14;"SAMP";0;0;0;"26/04/2018 15:49:19";;1.189;9980;;0.238;4991;;0.618;8967;;
"ep160";15;15;"SAMP";0;0;0;"26/04/2018 15:50:19";;1.304;10614;;0.322;5458;;0.731;9546;;
"ep161";16;16;"SAMP";0;0;0;"26/04/2018 15:51:19";;1.125;9625;;0.087;4158;;0.574;8741;;
"ep162";17;17;"SAMP";0;0;0;"26/04/2018 15:52:19";;1.129;9648;;0.127;4380;;0.511;8419;;
"ep163";18;18;"SAMP";0;0;0;"26/04/2018 15:53:19";;1.242;10270;;0.117;4324;;0.427;7987;;
"ep164";19;19;"SAMP";0;0;0;"26/04/2018 15:54:19";;1.105;9515;;0.035;3867;;0.393;7810;;
"ep165";20;20;"SAMP";0;0;0;"26/04/2018 15:55:19";;1.129;9646;;0.236;4983;;0.505;8385;;
"ep166";21;21;"SAMP";0;0;0;"26/04/2018 15:56:19";;1.133;9670;;0.266;5151;;0.638;9070;;
"ep167";22;22;"SAMP";0;0;0;"26/04/2018 15:57:19";;1.102;9497;;0.112;4292;;0.503;8374;;
"ep168";23;23;"SAMP";0;0;0;"26/04/2018 15:58:19";;1.200;10040;;1.158;10093;;3.801;25296;;
"ep169";24;24;"SAMP";0;0;0;"26/04/2018 15:59:19";;1.188;9974;;0.096;4205;;0.518;8450;;
"ep170";25;25;"SAMP";0;0;0;"26/04/2018 16:00:19";;1.053;9224;;0.044;3915;;0.551;8623;;
"ep171";26;26;"SAMP";0;0;0;"26/04/2018 16:01:19";;1.194;10004;;0.109;4279;;0.494;8327;;
"ep172";27;27;"SAMP";0;0;0;"26/04/2018 16:02:19";;1.154;9787;;0.043;3911;;0.516;8441;;
"ep173";28;28;"SAMP";0;0;0;"26/04/2018 16:03:19";;1.086;9408;;0.231;4957;;0.598;8861;;
"ep174";29;29;"SAMP";0;0;0;"26/04/2018 16:04:19";;1.075;9346;;0.220;4894;;0.546;8595;;
"ep175";30;30;"SAMP";0;0;0;"26/04/2018 16:05:19";;1.037;9135;;0.114;4305;;0.410;7898;;
"ep176";31;31;"SAMP";0;0;0;"26/04/2018 16:06:19";;1.013;9006;;0.037;3878;;0.327;7475;;
"ep177";32;32;"SAMP";0;0;0;"26/04/2018 16:07:19";;1.148;9750;;0.083;4135;;0.124;6433;;
"ep178";33;33;"SAMP";0;0;0;"26/04/2018 16:08:19";;1.059;9257;;0.752;7841;;3.078;21586;;
"ep179";34;34;"SAMP";0;0;0;"26/04/2018 16:09:19";;1.131;9658;;0.130;4396;;0.354;7610;;
"ep180";35;35;"SAMP";0;0;0;"26/04/2018 16:10:19";;1.027;9080;;0.237;4985;;0.496;8340;;
"Drift";36;36;"DRIF";0;0;0;"26/04/2018 16:11:19";;9.924;58347;;10.015;59194;;9.859;56380;;
"ep181";37;37;"SAMP";0;0;0;"26/04/2018 16:12:19";;1.121;9600;;0.714;7634;;0.104;6329;;
"ep182";38;38;"SAMP";0;0;0;"26/04/2018 16:13:19";;1.225;10181;;1.643;12784;;2.599;19129;;
"ep183";39;39;"SAMP";0;0;0;"26/04/2018 16:14:19";;1.027;9083;;0.244;5028;;0.277;7215;;
"ep184";40;40;"SAMP";0;0;0;"26/04/2018 16:15:19";;1.070;9319;;0.678;7435;;0.449;8097;;
"ep185";41;41;"SAMP";0;0;0;"26/04/2018 16:16:19";;1.036;9133;;0.223;4908;;0.406;7880;;
"ep186";42;42;"SAMP";0;0;0;"26/04/2018 16:17:19";;1.038;9143;;0.738;7767;;0.540;8565;;
