"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"180430AR1.RUN";;;;;;;;;;;;;;;;;
"DATE";"30/04/2018";;;;;;;;;;;;;;;;;
"TIME";"14:57:35";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"ecophysio2018 mesocosm_monitoring";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-5395;;;-6714;;;-8225;;;
"Gain";;;;;;;;;150;;;52;;;146;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"30/04/2018 14:59:02";;10.044;58911;;10.046;61080;;9.910;53230;;
"cal10";2;2;"CALB";0;0;0;"30/04/2018 15:00:02";10.000;10.005;58697;10.000;10.009;60867;10.000;10.090;54102;;
"cal5";3;3;"CALB";0;0;0;"30/04/2018 15:01:02";5.000;4.978;31034;5.000;4.976;31953;5.000;4.869;28800;;
"cal2";4;4;"CALB";0;0;0;"30/04/2018 15:02:02";2.000;2.001;14656;2.000;1.991;14801;2.000;1.815;14002;;
"cal1";5;5;"CALB";0;0;0;"30/04/2018 15:03:02";1.000;1.067;9513;1.000;1.054;9415;1.000;0.981;9964;;
"cal0.5";6;6;"CALB";0;0;0;"30/04/2018 15:04:02";0.500;0.486;6316;0.500;0.484;6140;0.500;0.538;7817;;
"cal0.1";7;7;"CALB";0;0;0;"30/04/2018 15:05:02";0.100;0.064;3998;0.100;0.087;3861;0.100;0.307;6695;;
"Drift";8;8;"DRIF";0;0;0;"30/04/2018 15:06:02";;10.058;58992;;10.024;60956;;10.122;54254;;
"ep208";9;9;"SAMP";0;0;0;"30/04/2018 15:07:02";;1.237;10451;;0.018;3464;;1.130;10683;;
"ep209";10;10;"SAMP";0;0;0;"30/04/2018 15:08:02";;1.281;10694;;0.296;5064;;1.259;11308;;
"ep210";11;11;"SAMP";0;0;0;"30/04/2018 15:09:02";;1.246;10498;;0.128;4097;;1.290;11457;;
"ep211";12;12;"SAMP";0;0;0;"30/04/2018 15:10:02";;1.283;10703;;0.246;4776;;1.274;11383;;
"ep212";13;13;"SAMP";0;0;0;"30/04/2018 15:11:02";;1.262;10590;;0.094;3904;;1.266;11343;;
"ep213";14;14;"SAMP";0;0;0;"30/04/2018 15:12:02";;1.356;11105;;0.667;7193;;2.908;19298;;
"ep214";15;15;"SAMP";0;0;0;"30/04/2018 15:13:02";;1.289;10735;;0.366;5464;;1.370;11846;;
"ep215";16;16;"SAMP";0;0;0;"30/04/2018 15:14:02";;1.253;10541;;-0.030;3189;;1.245;11243;;
"ep216";17;17;"SAMP";0;0;0;"30/04/2018 15:15:02";;1.300;10798;;0.381;5551;;1.397;11979;;
"mm148";18;18;"SAMP";0;0;0;"30/04/2018 15:16:02";;0.039;3861;;0.008;3409;;1.209;11068;;
"mm149";19;19;"SAMP";0;0;0;"30/04/2018 15:17:02";;-0.004;3620;;0.016;3454;;1.229;11163;;
"mm150";20;20;"SAMP";0;0;0;"30/04/2018 15:18:02";;1.266;10609;;-0.029;3194;;1.136;10712;;
"mm151";21;21;"SAMP";0;0;0;"30/04/2018 15:19:02";;1.222;10369;;0.034;3556;;1.369;11843;;
"mm152";22;22;"SAMP";0;0;0;"30/04/2018 15:20:02";;0.074;4049;;0.017;3462;;1.003;10068;;
"mm153";23;23;"SAMP";0;0;0;"30/04/2018 15:21:02";;0.098;4185;;0.063;3723;;1.288;11452;;
"mm154";24;24;"SAMP";0;0;0;"30/04/2018 15:22:02";;0.314;5372;;0.472;6074;;3.118;20319;;
"mm155";25;25;"SAMP";0;0;0;"30/04/2018 15:23:02";;1.134;9882;;-0.013;3287;;0.923;9679;;
"mm156";26;26;"SAMP";0;0;0;"30/04/2018 15:24:02";;1.199;10244;;-0.012;3294;;0.994;10025;;
"mm157";27;27;"SAMP";0;0;0;"30/04/2018 15:25:02";;0.012;3712;;-0.030;3188;;0.920;9666;;
"mm158";28;28;"SAMP";0;0;0;"30/04/2018 15:26:02";;0.041;3868;;-0.009;3311;;0.871;9428;;
"mm159";29;29;"SAMP";0;0;0;"30/04/2018 15:27:02";;1.158;10015;;-0.031;3185;;0.956;9839;;
"mm160";30;30;"SAMP";0;0;0;"30/04/2018 15:28:02";;0.018;3745;;0.003;3381;;1.031;10203;;
"mm161";31;31;"SAMP";0;0;0;"30/04/2018 15:29:02";;1.246;10503;;-0.025;3219;;1.148;10769;;
"mm162";32;32;"SAMP";0;0;0;"30/04/2018 15:30:02";;0.128;4349;;-0.002;3353;;1.016;10134;;
"mm163";33;33;"SAMP";0;0;0;"30/04/2018 15:31:02";;1.179;10133;;0.046;3628;;1.268;11351;;
"mm164";34;34;"SAMP";0;0;0;"30/04/2018 15:32:02";;1.451;11629;;0.028;3523;;1.620;13059;;
"mm165";35;35;"SAMP";0;0;0;"30/04/2018 15:33:02";;1.158;10018;;-0.021;3244;;1.257;11299;;
"Drift";36;36;"DRIF";0;0;0;"30/04/2018 15:34:02";;10.058;58992;;10.024;60956;;10.122;54254;;
"mm166";37;37;"SAMP";0;0;0;"30/04/2018 15:35:02";;1.182;10148;;-0.001;3357;;1.308;11549;;
"mm167";38;38;"SAMP";0;0;0;"30/04/2018 15:36:02";;0.031;3816;;-0.006;3327;;1.261;11320;;
"mm014";39;39;"SAMP";0;0;0;"30/04/2018 15:37:02";;1.551;12179;;0.248;4787;;1.351;11755;;
"mm068";40;40;"SAMP";0;0;0;"30/04/2018 15:38:02";;1.513;11972;;0.101;3944;;1.188;10966;;
"mm069";41;41;"SAMP";0;0;0;"30/04/2018 15:39:02";;0.140;4414;;0.263;4871;;1.454;12255;;
"mm070";42;42;"SAMP";0;0;0;"30/04/2018 15:40:02";;1.497;11880;;0.281;4977;;1.626;13087;;
"mm088";43;43;"SAMP";0;0;0;"30/04/2018 15:41:02";;0.140;4417;;0.257;4841;;1.374;11865;;
"ep000";44;44;"SAMP";0;0;0;"30/04/2018 15:42:02";;1.386;11269;;0.413;5737;;2.447;17068;;
