"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"171124AR1.RUN";;;;;;;;;;;;;;;;;
"DATE";"24/11/2017";;;;;;;;;;;;;;;;;
"TIME";"12:07:49";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"Recalculate from Run171124AR1.run";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-6604;;;-6584;;;-7689;;;
"Gain";;;;;;;;;140;;;54;;;137;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"24/11/2017 12:10:30";;10.021;59968;;9.944;60756;;9.718;62202;;
"cal10";2;2;"CALB";0;0;0;"24/11/2017 12:11:30";10.000;9.942;59529;10.000;9.976;60936;10.000;9.759;62456;;
"cal5";3;3;"CALB";0;0;0;"24/11/2017 12:12:30";5.000;5.064;32560;5.000;5.030;32840;5.000;5.499;35828;;
"cal2";4;4;"CALB";0;0;0;"24/11/2017 12:13:30";2.000;2.071;16006;2.000;2.032;15809;2.000;1.844;12978;;
"cal1";5;5;"CALB";0;0;0;"24/11/2017 12:14:30";1.000;1.132;10813;1.000;0.956;9694;1.000;0.864;6853;;
"cal0.5";6;6;"CALB";0;0;0;"24/11/2017 12:15:30";0.500;0.457;7083;0.500;0.470;6931;0.500;0.329;3505;;
"cal0.3";7;7;"CALB";0;0;0;"24/11/2017 12:16:30";0.300;0.239;5880;0.300;0.257;5726;0.300;0.362;3713;;
"cal0.2";8;8;"CALB";0;0;0;"24/11/2017 12:17:30";0.200;0.150;5384;0.200;0.413;6609;0.200;0.184;2602;;
"cal0.1";9;9;"CALB";0;0;0;"24/11/2017 12:18:30";0.100;0.029;4714;0.100;0.038;4482;0.100;0.037;1682;;
"cal0";10;10;"CALB";0;0;0;"24/11/2017 12:19:30";0.000;0.017;4649;0.000;-0.073;3850;0.000;0.220;2826;;
"Drift";11;11;"DRIF";0;0;0;"24/11/2017 12:20:30";;10.047;60113;;9.939;60729;;9.627;61629;;
"20171122 09:01 1F";12;12;"SAMP";0;0;0;"24/11/2017 12:21:30";;2.506;18413;;0.083;4734;;-0.129;644;;
"20171122 09:01 2F";13;13;"SAMP";0;0;0;"24/11/2017 12:22:30";;2.653;19226;;0.479;6983;;0.164;2476;;
"20171122 09:01 3F";14;14;"SAMP";0;0;0;"24/11/2017 12:23:30";;2.604;18957;;0.046;4526;;-0.144;550;;
"20171122 09:01 4F";15;15;"SAMP";0;0;0;"24/11/2017 12:24:30";;2.590;18878;;-0.074;3844;;-0.167;405;;
"20171122 09:01 5F";16;16;"SAMP";0;0;0;"24/11/2017 12:25:30";;2.619;19037;;-0.171;3290;;-0.169;394;;
"20171122 09:01 6F";17;17;"SAMP";0;0;0;"24/11/2017 12:26:30";;2.475;18244;;-0.117;3601;;-0.100;825;;
"20171122 09:59 1O";18;18;"SAMP";0;0;0;"24/11/2017 12:27:30";;2.627;19080;;0.623;7805;;-0.195;229;;
