"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"171208D.RUN";;;;;;;;;;;;;;;;;
"DATE";"8/12/2017";;;;;;;;;;;;;;;;;
"TIME";"13:30:52";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"NuHystrix";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-6688;;;-6374;;;-7904;;;
"Gain";;;;;;;;;143;;;49;;;144;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"8/12/2017 13:32:27";;10.057;60157;;10.008;57043;;10.032;51479;;
"cal10";2;2;"CALB";0;0;0;"8/12/2017 13:33:27";10.000;10.000;59852;10.000;9.992;56957;10.000;9.832;50523;;
"cal5";3;3;"CALB";0;0;0;"8/12/2017 13:34:27";5.000;4.881;32034;5.000;5.030;30351;5.000;5.186;28382;;
"cal2";4;4;"CALB";0;0;0;"8/12/2017 13:35:27";2.000;1.989;16314;2.000;1.976;13970;2.000;1.927;12848;;
"cal1";5;5;"CALB";0;0;0;"8/12/2017 13:36:27";1.000;1.146;11736;1.000;0.982;8640;1.000;1.545;11024;;
"cal0.5";6;6;"CALB";0;0;0;"8/12/2017 13:37:27";0.500;0.908;10443;0.500;0.478;5937;0.500;0.392;5529;;
"cal0.3";7;7;"CALB";0;0;0;"8/12/2017 13:38:27";0.300;0.350;7407;0.300;0.312;5047;0.300;0.232;4769;;
"cal0.2";8;8;"CALB";0;0;0;"8/12/2017 13:39:27";0.200;0.079;5938;0.200;0.179;4332;0.200;-0.092;3221;;
"cal0.1";9;9;"CALB";0;0;0;"8/12/2017 13:40:27";0.100;-0.046;5255;0.100;0.130;4074;0.100;-0.041;3468;;
"cal0";10;10;"CALB";0;0;0;"8/12/2017 13:41:27";0.000;-0.208;4375;0.000;0.021;3488;0.000;0.119;4231;;
"Drift";11;11;"DRIF";0;0;0;"8/12/2017 13:42:27";;10.033;60028;;10.021;57114;;10.219;52369;;
"20171205 08:59 1O";12;12;"SAMP";0;0;0;"8/12/2017 13:43:27";;4.564;30308;;0.027;3520;;0.122;4241;;
"20171205 08:59 2O";13;13;"SAMP";0;0;0;"8/12/2017 13:44:27";;5.055;32979;;0.022;3494;;0.234;4775;;
"20171205 08:59 3O";14;14;"SAMP";0;0;0;"8/12/2017 13:45:27";;5.172;33614;;0.221;4561;;0.887;7892;;
"20171205 08:59 4O";15;15;"SAMP";0;0;0;"8/12/2017 13:46:27";;4.565;30315;;0.063;3710;;0.108;4177;;
"20171205 08:59 5O";16;16;"SAMP";0;0;0;"8/12/2017 13:47:27";;4.687;30975;;1.014;8810;;0.077;4030;;
"20171205 08:59 6O";17;17;"SAMP";0;0;0;"8/12/2017 13:48:27";;4.549;30225;;0.077;3788;;0.283;5012;;
"20171205 13:01 1F";18;18;"SAMP";0;0;0;"8/12/2017 13:49:27";;4.391;29371;;0.262;4779;;0.296;5071;;
"20171205 13:01 2F";19;19;"SAMP";0;0;0;"8/12/2017 13:50:27";;4.603;30522;;0.125;4046;;0.167;4459;;
"20171205 13:01 3F";20;20;"SAMP";0;0;0;"8/12/2017 13:51:27";;4.464;29766;;0.191;4397;;0.321;5192;;
"20171205 13:01 4F";21;21;"SAMP";0;0;0;"8/12/2017 13:52:27";;4.436;29613;;0.030;3534;;0.279;4991;;
"20171205 13:01 5F";22;22;"SAMP";0;0;0;"8/12/2017 13:53:27";;4.441;29638;;0.086;3833;;0.279;4993;;
"20171205 13:01 6F";23;23;"SAMP";0;0;0;"8/12/2017 13:54:27";;4.389;29357;;-0.005;3345;;0.279;4992;;
"20171205 13:59 1O";24;24;"SAMP";0;0;0;"8/12/2017 13:55:27";;4.494;29926;;1.043;8970;;0.470;5904;;
"20171205 13:59 2O";25;25;"SAMP";0;0;0;"8/12/2017 13:56:27";;4.499;29956;;1.022;8857;;0.432;5719;;
"20171205 13:59 3O";26;26;"SAMP";0;0;0;"8/12/2017 13:57:27";;4.521;30075;;0.979;8623;;0.463;5867;;
"20171205 13:59 4O";27;27;"SAMP";0;0;0;"8/12/2017 13:58:27";;4.521;30073;;0.938;8402;;0.584;6446;;
"20171205 13:59 5O";28;28;"SAMP";0;0;0;"8/12/2017 13:59:27";;4.518;30061;;1.074;9135;;0.574;6398;;
"20171205 13:59 6O";29;29;"SAMP";0;0;0;"8/12/2017 14:00:27";;4.478;29839;;0.994;8707;;0.311;5145;;
"20171205 17:01 1F";30;30;"SAMP";0;0;0;"8/12/2017 14:01:27";;4.313;28945;;0.006;3409;;0.222;4718;;
"20171205 17:01 2F";31;31;"SAMP";0;0;0;"8/12/2017 14:02:27";;4.409;29467;;0.446;5765;;0.807;7507;;
"20171205 17:01 3F";32;32;"SAMP";0;0;0;"8/12/2017 14:03:27";;4.342;29102;;0.128;4060;;0.242;4817;;
"20171205 17:01 4F";33;33;"SAMP";0;0;0;"8/12/2017 14:04:27";;4.337;29075;;0.016;3458;;0.227;4744;;
"20171205 17:01 5F";34;34;"SAMP";0;0;0;"8/12/2017 14:05:27";;4.353;29161;;0.101;3917;;0.316;5170;;
"20171205 17:01 6F";35;35;"SAMP";0;0;0;"8/12/2017 14:06:27";;4.356;29180;;0.083;3822;;0.629;6662;;
"Drift";36;36;"DRIF";0;0;0;"8/12/2017 14:07:27";;10.033;60028;;10.021;57114;;10.219;52369;;
"20171206 09:01 1F";37;37;"SAMP";0;0;0;"8/12/2017 14:08:27";;4.600;30502;;1.053;9022;;0.201;4618;;
"20171206 09:01 2F";38;38;"SAMP";0;0;0;"8/12/2017 14:09:27";;4.618;30600;;0.947;8451;;0.370;5424;;
"20171206 09:01 3F";39;39;"SAMP";0;0;0;"8/12/2017 14:10:27";;4.658;30817;;0.948;8459;;0.760;7286;;
"20171206 09:01 4F";40;40;"SAMP";0;0;0;"8/12/2017 14:11:27";;4.609;30553;;0.782;7570;;0.543;6251;;
"20171206 09:01 5F";41;41;"SAMP";0;0;0;"8/12/2017 14:12:27";;4.569;30338;;1.114;9347;;0.766;7313;;
"20171206 09:01 6F";42;42;"SAMP";0;0;0;"8/12/2017 14:13:27";;4.583;30413;;0.743;7358;;0.409;5612;;
"20171206 09:59 1O";43;43;"SAMP";0;0;0;"8/12/2017 14:14:27";;4.639;30718;;1.155;9567;;0.599;6518;;
"20171206 09:59 2O";44;44;"SAMP";0;0;0;"8/12/2017 14:15:27";;4.621;30618;;1.114;9347;;0.312;5151;;
"20171206 09:59 3O";45;45;"SAMP";0;0;0;"8/12/2017 14:16:27";;4.646;30752;;1.087;9203;;0.751;7243;;
"20171206 09:59 4O";46;46;"SAMP";0;0;0;"8/12/2017 14:17:27";;4.633;30684;;1.027;8882;;0.450;5805;;
"20171206 09:59 5O";47;47;"SAMP";0;0;0;"8/12/2017 14:18:27";;4.633;30682;;1.059;9055;;0.490;5995;;
"20171206 09:59 6O";48;48;"SAMP";0;0;0;"8/12/2017 14:19:27";;4.633;30686;;1.056;9036;;0.382;5482;;
"20171206 13:01 1F";49;49;"SAMP";0;0;0;"8/12/2017 14:20:27";;4.459;29736;;0.061;3703;;0.520;6142;;
"20171206 13:01 2F";50;50;"SAMP";0;0;0;"8/12/2017 14:21:27";;4.470;29796;;0.038;3577;;0.272;4960;;
"20171206 13:01 3F";51;51;"SAMP";0;0;0;"8/12/2017 14:22:27";;4.457;29728;;0.051;3650;;0.233;4772;;
"20171206 13:01 4F";52;52;"SAMP";0;0;0;"8/12/2017 14:23:27";;4.433;29596;;-0.011;3316;;0.203;4630;;
"20171206 13:01 5F";53;53;"SAMP";0;0;0;"8/12/2017 14:24:27";;4.470;29797;;0.077;3786;;0.114;4207;;
