"ANAL";"NPinorganique.ANL";;;;;;;;;;;;;;;;;
"RUN ";"180516A.RUN";;;;;;;;;;;;;;;;;
"DATE";"16/05/2018";;;;;;;;;;;;;;;;;
"TIME";"15:02:23";;;;;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;;;;
"COMM";"coral_salinity002";;;;;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;3;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;"NH4";;;
"UNIT";;;;;;;;;"µmol/L";;;"µmol/L";;;"µmol/L";;;
"Base";;;;;;;;;-5519;;;-6593;;;-7985;;;
"Gain";;;;;;;;;152;;;54;;;162;;;
"Lamp";;;;;;;;;257;;;300;;;292;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;"Results 3";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"16/05/2018 15:03:19";;9.995;59224;;9.903;62412;;9.491;56078;;
"cal10";2;2;"CALB";0;0;0;"16/05/2018 15:04:19";10.000;10.004;59274;10.000;9.958;62738;10.000;9.893;58206;;
"cal5";3;3;"CALB";0;0;0;"16/05/2018 15:05:19";5.000;4.984;31352;5.000;5.058;33690;5.000;5.230;33522;;
"cal2";4;4;"CALB";0;0;0;"16/05/2018 15:06:19";2.000;2.017;14847;2.000;2.073;15999;2.000;1.998;16412;;
"cal1";5;5;"CALB";0;0;0;"16/05/2018 15:07:19";1.000;1.008;9238;1.000;0.989;9576;1.000;0.812;10136;;
"cal0.5";6;6;"CALB";0;0;0;"16/05/2018 15:08:19";0.500;0.509;6461;0.500;0.469;6494;0.500;0.389;7893;;
"cal0.1";7;7;"CALB";0;0;0;"16/05/2018 15:09:19";0.100;0.079;4068;0.100;0.052;4021;0.100;0.277;7305;;
"Drift";8;8;"DRIF";0;0;0;"16/05/2018 15:10:19";;9.962;59042;;9.864;62177;;9.953;58520;;
"cs182";9;9;"SAMP";0;0;0;"16/05/2018 15:11:19";;0.709;7575;;0.064;4093;;0.875;10469;;
"cs183";10;10;"SAMP";0;0;0;"16/05/2018 15:12:19";;0.871;8477;;0.125;4451;;1.363;13053;;
"cs184";11;11;"SAMP";0;0;0;"16/05/2018 15:13:19";;0.956;8950;;0.784;8359;;1.359;13029;;
"cs185";12;12;"SAMP";0;0;0;"16/05/2018 15:14:19";;0.862;8427;;0.114;4386;;1.427;13391;;
"cs186";13;13;"SAMP";0;0;0;"16/05/2018 15:15:19";;0.948;8902;;0.731;8042;;1.244;12421;;
"cs187";14;14;"SAMP";0;0;0;"16/05/2018 15:16:19";;0.733;7709;;0.150;4603;;1.662;14633;;
"cs188";15;15;"SAMP";0;0;0;"16/05/2018 15:17:19";;0.733;7708;;0.123;4443;;1.683;14743;;
"cs189";16;16;"SAMP";0;0;0;"16/05/2018 15:18:19";;0.728;7681;;0.074;4153;;1.271;12562;;
"cs190";17;17;"SAMP";0;0;0;"16/05/2018 15:19:19";;0.825;8221;;0.051;4014;;1.184;12102;;
"cs191";18;18;"SAMP";0;0;0;"16/05/2018 15:20:19";;0.824;8212;;0.035;3917;;1.017;11222;;
"cs192";19;19;"SAMP";0;0;0;"16/05/2018 15:21:19";;0.784;7990;;0.061;4071;;1.155;11952;;
"cs193";20;20;"SAMP";0;0;0;"16/05/2018 15:22:19";;0.697;7508;;0.011;3778;;0.929;10752;;
"cs194";21;21;"SAMP";0;0;0;"16/05/2018 15:23:19";;1.050;9468;;0.975;9491;;1.486;13704;;
"cs195";22;22;"SAMP";0;0;0;"16/05/2018 15:24:19";;0.705;7550;;0.118;4408;;1.616;14391;;
"cs196";23;23;"SAMP";0;0;0;"16/05/2018 15:25:19";;1.039;9410;;1.069;10047;;1.801;15372;;
"cs197";24;24;"SAMP";0;0;0;"16/05/2018 15:26:19";;0.709;7572;;0.051;4016;;1.176;12061;;
"cs198";25;25;"SAMP";0;0;0;"16/05/2018 15:27:19";;0.874;8493;;0.456;6415;;1.418;13344;;
